,L1-shape,L1-params,L2-shape,L2-params,L3-shape,L3-prunable-params
0,20,120,8,112,4,56
1,29,174,10,160,5,80
2,43,258,13,247,6,108
3,64,384,16,352,8,176
4,94,564,20,520,10,260
5,138,828,25,775,12,360
6,202,1212,31,1147,15,540
7,297,1782,38,1672,19,836
8,437,2622,47,2491,23,1196
9,643,3858,57,3591,29,1856
10,946,5676,70,5320,35,2660
11,1391,8346,85,7735,43,3956
12,2046,12276,104,11440,52,5720
13,3009,18054,127,16891,63,8316
14,4425,26550,154,24640,77,12320
15,,,188,36472,94,18236
16,,,229,53815,114,26676
17,,,278,78952,,
18,,,337,115591,,
19,,,410,170560,,
20,,,498,250992,,
21,,,604,368440,,
22,,,733,541687,,
23,,,890,797440,,
24,,,1080,1172880,,
25,,,1310,1723960,,
