"Step","daily-sweep-1 - layersplit/inview-1-p-decided","daily-sweep-1 - layersplit/inview-1-p-decided__MIN","daily-sweep-1 - layersplit/inview-1-p-decided__MAX","daily-sweep-1 - layersplit/inview-2-p-decided","daily-sweep-1 - layersplit/inview-2-p-decided__MIN","daily-sweep-1 - layersplit/inview-2-p-decided__MAX","daily-sweep-1 - layersplit/inview-3-p-decided","daily-sweep-1 - layersplit/inview-3-p-decided__MIN","daily-sweep-1 - layersplit/inview-3-p-decided__MAX","daily-sweep-1 - layersplit/inview-4-p-decided","daily-sweep-1 - layersplit/inview-4-p-decided__MIN","daily-sweep-1 - layersplit/inview-4-p-decided__MAX"
"1","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0.005917159763313609","0.005917159763313609","0.005917159763313609","0","0","0","0","0","0","0","0","0"
"3","0.011904761904761904","0.011904761904761904","0.011904761904761904","0","0","0","0","0","0","0","0","0"
"4","0.047619047619047616","0.047619047619047616","0.047619047619047616","0","0","0","0","0","0","0","0","0"
"5","0.07738095238095238","0.07738095238095238","0.07738095238095238","0","0","0","0","0","0","0","0","0"
"6","0.1130952380952381","0.1130952380952381","0.1130952380952381","0","0","0","0","0","0","0","0","0"
"7","0.13690476190476192","0.13690476190476192","0.13690476190476192","0","0","0","0","0","0","0","0","0"
"8","0.18452380952380953","0.18452380952380953","0.18452380952380953","0","0","0","0","0","0","0","0","0"
"9","0.20121951219512196","0.20121951219512196","0.20121951219512196","0.006060606060606061","0.006060606060606061","0.006060606060606061","0","0","0","0","0","0"
"10","0.2468354430379747","0.2468354430379747","0.2468354430379747","0.09740259740259741","0.09740259740259741","0.09740259740259741","0","0","0","0","0","0"
"11","0.4396551724137931","0.4396551724137931","0.4396551724137931","0.3619047619047619","0.3619047619047619","0.3619047619047619","0.039473684210526314","0.039473684210526314","0.039473684210526314","0","0","0"
"12","0.7558139534883721","0.7558139534883721","0.7558139534883721","0.6533333333333333","0.6533333333333333","0.6533333333333333","0.12307692307692308","0.12307692307692308","0.12307692307692308","0","0","0"
"13","0.9361702127659575","0.9361702127659575","0.9361702127659575","0.9047619047619048","0.9047619047619048","0.9047619047619048","0.7380952380952381","0.7380952380952381","0.7380952380952381","0","0","0"
"14","1","1","1","1","1","1","0.90625","0.90625","0.90625","0","0","0"
"15","1","1","1","1","1","1","1","1","1","1","1","1"
