"Step","daily-sweep-1 - layersplit/outview-0-p-decided","daily-sweep-1 - layersplit/outview-0-p-decided__MIN","daily-sweep-1 - layersplit/outview-0-p-decided__MAX","daily-sweep-1 - layersplit/outview-1-p-decided","daily-sweep-1 - layersplit/outview-1-p-decided__MIN","daily-sweep-1 - layersplit/outview-1-p-decided__MAX","daily-sweep-1 - layersplit/outview-2-p-decided","daily-sweep-1 - layersplit/outview-2-p-decided__MIN","daily-sweep-1 - layersplit/outview-2-p-decided__MAX","daily-sweep-1 - layersplit/outview-3-p-decided","daily-sweep-1 - layersplit/outview-3-p-decided__MIN","daily-sweep-1 - layersplit/outview-3-p-decided__MAX"
"1","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0","0","0","0","0","0","0","0","0","0.3090909090909091","0.3090909090909091","0.3090909090909091"
"3","0","0","0","0","0","0","0","0","0","0.487012987012987","0.487012987012987","0.487012987012987"
"4","0","0","0","0","0","0","0","0","0","0.6293706293706294","0.6293706293706294","0.6293706293706294"
"5","0","0","0","0","0","0","0","0","0","0.728","0.728","0.728"
"6","0","0","0","0","0","0","0","0","0","0.7870370370370371","0.7870370370370371","0.7870370370370371"
"7","0","0","0","0","0","0","0.005917159763313609","0.005917159763313609","0.005917159763313609","0.8282828282828283","0.8282828282828283","0.8282828282828283"
"8","0","0","0","0","0","0","0.07100591715976332","0.07100591715976332","0.07100591715976332","0.8854166666666666","0.8854166666666666","0.8854166666666666"
"9","0","0","0","0.018292682926829267","0.018292682926829267","0.018292682926829267","0.21818181818181817","0.21818181818181817","0.21818181818181817","0.9010989010989011","0.9010989010989011","0.9010989010989011"
"10","0","0","0","0.18354430379746836","0.18354430379746836","0.18354430379746836","0.525974025974026","0.525974025974026","0.525974025974026","0.9431818181818182","0.9431818181818182","0.9431818181818182"
"11","0","0","0","0.5689655172413793","0.5689655172413793","0.5689655172413793","0.7714285714285715","0.7714285714285715","0.7714285714285715","0.9605263157894737","0.9605263157894737","0.9605263157894737"
"12","0","0","0","0.686046511627907","0.686046511627907","0.686046511627907","0.8","0.8","0.8","0.9692307692307692","0.9692307692307692","0.9692307692307692"
"13","0","0","0","0.8297872340425532","0.8297872340425532","0.8297872340425532","0.8809523809523809","0.8809523809523809","0.8809523809523809","0.9761904761904762","0.9761904761904762","0.9761904761904762"
"14","0.25","0.25","0.25","0.9411764705882353","0.9411764705882353","0.9411764705882353","0.967741935483871","0.967741935483871","0.967741935483871","1","1","1"
"15","1","1","1","1","1","1","1","1","1","1","1","1"
